college,entrance_exam,minimum_eligibility,documents_required,application_mode,source
IIT (ISM) Dhanbad,JEE Advanced,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
NIT Jamshedpur,JEE Main,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
IIIT Ranchi,JEE Main / JCECE,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Birsa Institute of Technology,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Dumka Engineering College,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Government Engineering College Palamu,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Ramgarh Engineering College,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Chaibasa Engineering College,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Government Engineering College Godda,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Cambridge Institute of Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
RTC Institute of Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
RVS College of Engineering and Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Jharkhand University of Technology,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Birla Institute of Technology Mesra,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Birsa Munda Institute of Technology,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Bokaro Institute of Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Hazaribagh College of Engineering,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Deoghar Institute of Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
