college,city,state,type,fees_ug_inr,placement_avg_lpa,overall_score,academic_score,campus_score,industry_score,source
IIT (ISM) Dhanbad,Dhanbad,Jharkhand,iit_tier,234000,22.9,9.0,9.0,8.7,9.2,Synthetic Benchmark Corpus v1.0 (generated)
NIT Jamshedpur,Jamshedpur,Jharkhand,nit_tier,199000,16.0,8.0,7.9,7.9,8.2,Synthetic Benchmark Corpus v1.0 (generated)
IIIT Ranchi,Ranchi,Jharkhand,iiit_tier,146000,12.9,7.2,7.2,6.7,7.7,Synthetic Benchmark Corpus v1.0 (generated)
Birsa Institute of Technology,Sindri,Jharkhand,government,92000,5.0,4.7,5.4,4.6,4.0,Synthetic Benchmark Corpus v1.0 (generated)
Dumka Engineering College,Dumka,Jharkhand,government,107000,5.3,5.1,5.6,5.2,4.6,Synthetic Benchmark Corpus v1.0 (generated)
Government Engineering College Palamu,Palamu,Jharkhand,government,111000,5.5,5.2,5.6,5.2,4.9,Synthetic Benchmark Corpus v1.0 (generated)
Ramgarh Engineering College,Ramgarh,Jharkhand,government,103000,5.2,5.0,5.3,5.2,4.5,Synthetic Benchmark Corpus v1.0 (generated)
Chaibasa Engineering College,Chaibasa,Jharkhand,government,92000,5.2,4.6,5.1,4.4,4.3,Synthetic Benchmark Corpus v1.0 (generated)
Government Engineering College Godda,Godda,Jharkhand,government,91000,5.0,4.5,5.2,4.4,4.0,Synthetic Benchmark Corpus v1.0 (generated)
Cambridge Institute of Technology,Ranchi,Jharkhand,private,176000,5.7,4.8,4.8,5.0,4.5,Synthetic Benchmark Corpus v1.0 (generated)
RTC Institute of Technology,Ranchi,Jharkhand,private,222000,6.1,5.8,5.8,6.5,5.2,Synthetic Benchmark Corpus v1.0 (generated)
RVS College of Engineering and Technology,Jamshedpur,Jharkhand,private,182000,5.7,5.0,4.8,5.6,4.5,Synthetic Benchmark Corpus v1.0 (generated)
Jharkhand University of Technology,Ranchi,Jharkhand,state_university,98000,4.4,4.3,4.3,4.9,3.6,Synthetic Benchmark Corpus v1.0 (generated)
Birla Institute of Technology Mesra,Ranchi,Jharkhand,private,171000,5.4,4.7,4.9,5.1,4.0,Synthetic Benchmark Corpus v1.0 (generated)
Birsa Munda Institute of Technology,Ranchi,Jharkhand,government,112000,5.3,5.2,5.5,5.4,4.6,Synthetic Benchmark Corpus v1.0 (generated)
Bokaro Institute of Technology,Bokaro,Jharkhand,private,185000,5.6,5.1,5.2,5.6,4.4,Synthetic Benchmark Corpus v1.0 (generated)
Hazaribagh College of Engineering,Hazaribagh,Jharkhand,private,207000,6.1,5.6,5.5,6.2,5.2,Synthetic Benchmark Corpus v1.0 (generated)
Deoghar Institute of Technology,Deoghar,Jharkhand,private,219000,6.2,5.8,5.9,6.0,5.4,Synthetic Benchmark Corpus v1.0 (generated)
Giridih Engineering College,Giridih,Jharkhand,private,178000,5.6,4.7,4.5,5.4,4.3,Synthetic Benchmark Corpus v1.0 (generated)
Koderma Institute of Science & Technology,Koderma,Jharkhand,private,159000,5.2,4.2,4.1,4.8,3.6,Synthetic Benchmark Corpus v1.0 (generated)
Koyla Anchaldhan College of Engineering,Dhanbad,Jharkhand,private,202000,5.8,5.2,5.3,5.6,4.7,Synthetic Benchmark Corpus v1.0 (generated)
Chhotanagpur Technical University,Hazaribagh,Jharkhand,state_university,102000,4.5,4.5,4.8,5.0,3.7,Synthetic Benchmark Corpus v1.0 (generated)
Santhal Pargana Engineering College,Dumka,Jharkhand,private,164000,5.3,4.4,4.6,4.8,3.9,Synthetic Benchmark Corpus v1.0 (generated)
Steel City Technical Campus,Bokaro,Jharkhand,private,230000,6.4,5.9,6.0,6.2,5.6,Synthetic Benchmark Corpus v1.0 (generated)
Subarnarekha Institute of Technology,Jamshedpur,Jharkhand,private,224000,6.2,5.8,5.8,6.1,5.4,Synthetic Benchmark Corpus v1.0 (generated)
Jamshedpur Technical Institute,Jamshedpur,Jharkhand,private,171000,5.4,4.6,4.5,5.4,4.0,Synthetic Benchmark Corpus v1.0 (generated)
Ranchi College of Engineering & Technology,Ranchi,Jharkhand,private,184000,5.5,4.8,4.7,5.6,4.2,Synthetic Benchmark Corpus v1.0 (generated)
Netaji Subhas University Department of Engineering,Jamshedpur,Jharkhand,private,221000,6.1,5.7,5.5,6.4,5.2,Synthetic Benchmark Corpus v1.0 (generated)
Radha Govind University College of Engineering,Ramgarh,Jharkhand,private,225000,6.4,5.9,5.9,6.3,5.6,Synthetic Benchmark Corpus v1.0 (generated)
Usha Martin University Faculty of Engineering,Ranchi,Jharkhand,private,154000,5.2,4.3,4.4,5.0,3.6,Synthetic Benchmark Corpus v1.0 (generated)
