gender,category,preferred_stream,entrance_exam,entrance_score,board_percentage,scholarship_eligibility,admission_status
other,general,management,cet,30,95.58,yes,admitted
other,ews,agriculture,none,0,75.45,no,rejected
female,sc,pharmacy,cet,120,75.36,no,rejected
male,ews,arts,cet,179,52.49,no,admitted
male,sc,engineering,jee,295,92.48,yes,admitted
male,ews,architecture,none,0,80.51,yes,admitted
female,obc,agriculture,cet,57,61.46,no,rejected
other,sc,medical,neet,333,65.74,no,rejected
male,obc,science,none,0,68.35,no,admitted
female,sc,pharmacy,cet,125,91.72,yes,admitted
female,obc,pharmacy,cet,96,90.3,no,rejected
male,sc,law,none,0,77.03,no,rejected
female,ews,medical,neet,358,89.23,yes,admitted
other,general,law,none,0,78.37,no,rejected
other,st,pharmacy,cet,88,57.41,no,admitted
female,ews,science,none,0,61.08,no,rejected
male,general,architecture,cet,26,66.21,no,rejected
other,st,agriculture,cet,7,61.38,no,rejected
male,sc,medical,neet,634,94.99,yes,admitted
other,st,engineering,jee,102,59.76,no,rejected
other,obc,pharmacy,cet,111,54.82,no,rejected
male,obc,computer applications,cet,105,91.76,no,rejected
other,obc,medical,neet,73,57.05,no,rejected
male,general,nursing,cet,102,50.44,no,rejected
female,sc,law,none,0,83.95,no,rejected
male,ews,medical,neet,574,57.52,yes,admitted
male,st,law,none,0,69.86,no,rejected
other,general,law,cet,101,66.24,no,rejected
female,sc,arts,none,0,98.11,no,rejected
female,general,architecture,none,0,54.93,no,rejected
female,general,science,cet,144,52.86,no,admitted
other,st,nursing,cet,71,88.88,yes,admitted
other,obc,commerce,cet,166,66.66,no,rejected
female,st,agriculture,cet,143,78.14,no,rejected
male,general,computer applications,cet,111,50.5,no,rejected
male,general,arts,none,0,99.46,no,rejected
female,st,science,none,0,82.59,no,admitted
male,obc,nursing,cet,190,82.78,no,rejected
male,general,pharmacy,cet,17,87.49,no,rejected
male,st,commerce,cet,160,68.16,no,rejected
other,st,medical,neet,385,70.08,no,rejected
female,ews,arts,cet,64,71.88,no,rejected
other,sc,architecture,cet,158,89.69,yes,admitted
female,sc,pharmacy,none,0,54.19,no,rejected
female,st,engineering,jee,85,64.44,no,rejected
other,st,computer applications,cet,135,89.05,no,rejected
other,st,commerce,none,0,53.44,yes,admitted
male,obc,science,cet,176,97.41,yes,admitted
male,ews,management,none,0,77.64,no,rejected
female,st,management,cet,115,56.1,no,rejected
male,ews,computer applications,none,0,59.84,no,rejected
male,sc,engineering,jee,65,60.29,no,rejected
male,sc,arts,cet,140,59.31,no,rejected
other,ews,commerce,none,0,75.95,no,rejected
female,st,pharmacy,cet,23,90.45,yes,admitted
male,st,nursing,cet,37,58.14,no,rejected
other,ews,medical,neet,191,52.52,no,rejected
female,obc,architecture,cet,61,51.71,no,rejected
other,general,law,none,0,56.26,yes,admitted
male,general,law,cet,107,60.08,no,admitted
other,sc,nursing,cet,123,70.49,no,admitted
male,ews,management,none,0,87.12,yes,admitted
female,ews,medical,neet,5,51.22,no,rejected
female,general,law,none,0,64.14,no,rejected
male,general,management,none,0,51.28,no,rejected
female,st,medical,neet,629,99.53,yes,admitted
male,obc,pharmacy,cet,39,84.68,no,admitted
female,sc,law,cet,186,59.95,no,rejected
other,general,engineering,jee,76,55.1,yes,admitted
male,general,nursing,none,0,64.15,no,admitted
female,sc,arts,none,0,86.82,yes,admitted
other,st,commerce,cet,199,99.53,yes,admitted
male,ews,medical,neet,401,63.3,no,rejected
male,sc,engineering,jee,253,90.59,no,rejected
male,st,science,cet,145,91.55,no,rejected
female,ews,management,cet,100,83.83,no,admitted
male,sc,commerce,none,0,75.69,no,rejected
other,obc,law,cet,196,96.42,yes,admitted
male,ews,architecture,cet,88,82.84,no,rejected
female,general,arts,none,0,76.03,no,rejected
male,obc,arts,cet,39,80.53,no,admitted
male,general,law,none,0,88.63,no,rejected
male,st,agriculture,cet,100,56.57,no,admitted
female,obc,nursing,cet,139,91.65,yes,admitted
male,obc,commerce,cet,146,92.43,yes,admitted
male,st,commerce,cet,45,67.61,no,rejected
female,obc,arts,none,0,53.23,no,admitted
female,obc,science,none,0,88.95,yes,admitted
male,sc,pharmacy,cet,150,93.76,yes,admitted
female,general,pharmacy,none,0,78.93,no,rejected
female,ews,law,none,0,87.4,yes,admitted
other,ews,law,none,0,88.2,no,rejected
female,st,agriculture,none,0,64.5,no,rejected
