college,semester,exam_type,attendance_requirement,passing_marks,revaluation_allowed,source
IIT (ISM) Dhanbad,Fall,Midterm,75%,40%,Yes,Official Academic Regulations of IIT (ISM) Dhanbad
IIT (ISM) Dhanbad,Fall,Final,75%,40%,Yes,Official Academic Regulations of IIT (ISM) Dhanbad
IIT Bhilai,Fall,Midterm,75%,35%,Yes,Official Academic Regulations of IIT Bhilai
IIT Bhilai,Fall,Final,75%,35%,Yes,Official Academic Regulations of IIT Bhilai
NIT Jamshedpur,Fall,Midterm,75%,40%,Yes,Official B.Tech Academic Regulations of NIT Jamshedpur
NIT Jamshedpur,Fall,Final,75%,40%,Yes,Official B.Tech Academic Regulations of NIT Jamshedpur
NIT Rourkela,Fall,Midterm,85%,40%,Yes,Official Academic Rules of NIT Rourkela
NIT Rourkela,Fall,Final,85%,40%,Yes,Official Academic Rules of NIT Rourkela
IIT Kharagpur,Fall,Midterm,75%,40%,Yes,Official B.Tech Rules of IIT Kharagpur
IIT Kharagpur,Fall,Final,75%,40%,Yes,Official B.Tech Rules of IIT Kharagpur
